year;month;Coefficient
1950;1;0              , 00063
1950;2;0              , 00063
1950;3;0              , 00063
1950;4;0              , 00063
1950;5;0              , 00063
1950;6;0              , 00063
1950;7;0              , 00063
1950;8;0              , 00063
1950;9;0              , 00063
1950;10;0             , 00063
1950;11;0             , 00063
1950;12;0             , 00063
1951;1;0              , 00063
1951;2;0              , 00063
1951;3;0              , 00063
1951;4;0              , 00063
1951;5;0              , 00063
1951;6;0              , 00063
1951;7;0              , 00063
1951;8;0              , 00063
1951;9;0              , 00063
1951;10;0             , 00063
1951;11;0             , 00063
1951;12;0             , 00063
1952;1;0              , 00065
1952;2;0              , 00065
1952;3;0              , 00065
1952;4;0              , 00065
1952;5;0              , 00065
1952;6;0              , 00065
1952;7;0              , 00065
1952;8;0              , 00065
1952;9;0              , 00065
1952;10;0             , 00065
1952;11;0             , 00065
1952;12;0             , 00065
1953;1;0              , 00065
1953;2;0              , 00065
1953;3;0              , 00065
1953;4;0              , 00065
1953;5;0              , 00065
1953;6;0              , 00065
1953;7;0              , 00065
1953;8;0              , 00065
1953;9;0              , 00065
1953;10;0             , 00065
1953;11;0             , 00065
1953;12;0             , 00065
1954;1;0              , 00068
1954;2;0              , 00068
1954;3;0              , 00068
1954;4;0              , 00068
1954;5;0              , 00068
1954;6;0              , 00068
1954;7;0              , 00068
1954;8;0              , 00068
1954;9;0              , 00068
1954;10;0             , 00068
1954;11;0             , 00068
1954;12;0             , 00068
1955;1;0              , 00069
1955;2;0              , 00069
1955;3;0              , 00069
1955;4;0              , 00069
1955;5;0              , 00069
1955;6;0              , 00069
1955;7;0              , 00069
1955;8;0              , 00069
1955;9;0              , 00069
1955;10;0             , 00069
1955;11;0             , 00069
1955;12;0             , 00069
1956;1;0              , 00072
1956;2;0              , 00072
1956;3;0              , 00072
1956;4;0              , 00072
1956;5;0              , 00072
1956;6;0              , 00072
1956;7;0              , 00072
1956;8;0              , 00072
1956;9;0              , 00072
1956;10;0             , 00072
1956;11;0             , 00072
1956;12;0             , 00072
1957;1;0              , 00077
1957;2;0              , 00077
1957;3;0              , 00077
1957;4;0              , 00077
1957;5;0              , 00077
1957;6;0              , 00077
1957;7;0              , 00077
1957;8;0              , 00077
1957;9;0              , 00077
1957;10;0             , 00077
1957;11;0             , 00077
1957;12;0             , 00077
1958;1;0              , 00077
1958;2;0              , 00077
1958;3;0              , 00077
1958;4;0              , 00077
1958;5;0              , 00077
1958;6;0              , 00077
1958;7;0              , 00077
1958;8;0              , 00077
1958;9;0              , 00077
1958;10;0             , 00077
1958;11;0             , 00077
1958;12;0             , 00077
1959;1;0              , 00078
1959;2;0              , 00078
1959;3;0              , 00078
1959;4;0              , 00078
1959;5;0              , 00078
1959;6;0              , 00078
1959;7;0              , 00078
1959;8;0              , 00078
1959;9;0              , 00078
1959;10;0             , 00078
1959;11;0             , 00078
1959;12;0             , 00078
1960;1;0              , 00078
1960;2;0              , 00078
1960;3;0              , 00078
1960;4;0              , 00078
1960;5;0              , 00078
1960;6;0              , 00078
1960;7;0              , 00078
1960;8;0              , 00078
1960;9;0              , 00078
1960;10;0             , 00078
1960;11;0             , 00078
1960;12;0             , 00078
1961;1;0              , 00081
